Time,Channel A,Channel B,Channel C,Channel D,Channel H
(ms),(V),(V),(V),(V),(mV)

-50.01519822,-1.65425500,-1.91521200,-3.19405400,-4.03186400,-11.72628000
-50.00519822,-1.65425500,-1.97015000,-3.19405400,-4.05933300,-11.39666000
-49.99519822,-4.09443300,-4.82847000,-5.52130400,-7.09009900,29.47137000
-49.98519822,-3.00940100,-2.50885100,-1.70614100,-2.43560000,28.48858000
-49.97519822,-1.70919300,-0.56769620,0.94616040,0.81034060,28.81211000
-49.96519822,-0.94921260,0.32352580,1.54132600,1.64967600,28.70223000
-49.95519822,-0.40745940,0.83475760,1.89384700,2.29978000,28.37871000
-49.94519822,-0.05493835,1.13234000,2.21737300,2.67824400,29.14174000
-49.93519822,0.27011350,1.29410300,2.40813100,3.00177000,28.48858000
-49.92519822,0.46087170,1.40245400,2.59736300,3.21847200,28.70223000
-49.91519822,0.62263460,1.48333500,2.73165700,3.38176000,29.47137000
-49.90519822,0.70351610,1.53674800,2.81406400,3.46264200,28.04908000
-49.89519822,0.81186660,1.59016000,2.89494600,3.57099200,29.03186000
-49.88519822,0.89427420,1.61762900,2.97582700,3.62440500,29.69112000
-49.87519822,0.94768650,1.64509800,3.02923900,3.67934300,29.47137000
-49.86519822,0.97515570,1.64509800,3.02923900,3.67934300,28.81211000
-49.85519822,1.03009400,1.67104100,3.08417800,3.70528600,28.81211000
-49.84519822,1.08350600,1.67104100,3.08417800,3.73275500,28.48858000
-49.83519823,1.08350600,1.69851100,3.08417800,3.76022500,28.48858000
-49.82519823,1.08350600,1.69851100,3.11164700,3.76022500,28.37871000
-49.81519823,1.11097600,1.69851100,3.11164700,3.78769400,29.03186000
-49.80519823,1.13844500,1.69851100,3.16505900,3.78769400,28.59846000
-49.79519823,1.16438800,1.75192300,3.16505900,3.81363700,28.37871000
-49.78519823,1.13844500,1.69851100,3.13759000,3.81363700,29.14174000
-49.77519823,1.16438800,1.72598000,3.16505900,3.84110600,28.70223000
-49.76519823,1.19185700,1.75192300,3.16505900,3.84110600,28.26883000
-49.75519823,1.19185700,1.75192300,3.16505900,3.84110600,28.70223000
-49.74519823,1.19185700,1.75192300,3.19252800,3.86857500,28.48858000
