Time,Channel A,Channel B,Channel C,Channel D,Channel H
(ms),(V),(V),(V),(V),(mV)

-50.01522581,-1.60084200,-1.97015000,-3.19405400,-3.97845200,-11.17690000
-50.00522581,-1.60084200,-1.97015000,-3.19405400,-4.00439500,-12.82505000
-49.99522581,-4.12190200,-4.55988300,-4.97955100,-6.65669600,28.70223000
-49.98522581,-2.25094600,-1.32309900,0.18923210,-0.24417040,28.48858000
-49.97522581,-1.30173400,-0.10835060,1.29868100,1.27121200,29.25162000
-49.96522581,-0.65162980,0.59211330,1.70461500,1.97472800,29.03186000
-49.95522581,-0.21822730,0.99804660,2.05561000,2.51495600,28.70223000
-49.94522581,0.10835060,1.18575300,2.29978000,2.86747600,28.92199000
-49.93522581,0.35099500,1.34751600,2.51648100,3.13759000,28.59846000
-49.92522581,0.51428400,1.42839700,2.65077500,3.27341000,29.14174000
-49.91522581,0.67757300,1.48333500,2.75912600,3.40770400,28.15895000
-49.90522581,0.78592350,1.53674800,2.84000700,3.49011100,29.36149000
-49.89522581,0.83933590,1.59016000,2.92088900,3.57099200,28.70223000
-49.88522581,0.92174340,1.59016000,2.97582700,3.65187400,28.81211000
-49.87522582,0.97515570,1.61762900,3.02923900,3.67934300,29.14174000
-49.86522582,1.03009400,1.64509800,3.05670900,3.70528600,29.14174000
-49.85522582,1.05603700,1.67104100,3.08417800,3.70528600,29.14174000
-49.84522582,1.08350600,1.72598000,3.11164700,3.76022500,28.48858000
-49.83522582,1.11097600,1.67104100,3.13759000,3.73275500,28.15895000
-49.82522582,1.13844500,1.69851100,3.13759000,3.78769400,28.48858000
-49.81522582,1.13844500,1.72598000,3.13759000,3.78769400,28.70223000
-49.80522582,1.13844500,1.69851100,3.13759000,3.76022500,29.03186000
-49.79522582,1.16438800,1.69851100,3.13759000,3.78769400,28.26883000
-49.78522582,1.19185700,1.72598000,3.16505900,3.78769400,28.81211000
-49.77522582,1.19185700,1.75192300,3.19252800,3.81363700,28.26883000
-49.76522582,1.21932600,1.72598000,3.16505900,3.78769400,28.48858000
-49.75522582,1.21932600,1.72598000,3.19252800,3.81363700,29.36149000
-49.74522582,1.21932600,1.72598000,3.16505900,3.81363700,28.48858000
