Time,Channel A,Channel B,Channel C,Channel D,Channel H
(ms),(V),(V),(V),(V),(mV)

-50.01525645,-1.62678600,-1.91521200,-3.16658500,-3.97845200,-12.16579000
-50.00525645,-1.62678600,-1.94268100,-3.19405400,-3.92351400,-11.94604000
-49.99525645,-4.41948500,-5.09858400,-5.65559800,-7.52197500,29.58125000
-49.98525645,-2.46764700,-1.64662400,-0.24417040,-0.70351610,28.70223000
-49.97525645,-1.38414100,-0.21670130,1.21627400,1.13539200,28.48858000
-49.96525645,-0.75998040,0.51123180,1.70461500,1.89384700,28.48858000
-49.95525645,-0.27163960,0.94310830,2.00219800,2.43407400,28.92199000
-49.94525645,0.08088145,1.18575300,2.29978000,2.84000700,29.25162000
-49.93525645,0.35099500,1.34751600,2.48901200,3.11012100,27.38982000
-49.92525646,0.51428400,1.42839700,2.65077500,3.29935300,28.81211000
-49.91525646,0.65010370,1.50927800,2.78659500,3.43517300,29.25162000
-49.90525646,0.75845440,1.53674800,2.84000700,3.49011100,29.36149000
-49.89525646,0.83933590,1.59016000,2.94835800,3.57099200,28.70223000
-49.88525646,0.89427420,1.56421700,2.97582700,3.62440500,28.70223000
-49.87525646,0.94768650,1.61762900,3.00329600,3.70528600,28.92199000
-49.86525646,1.00262500,1.67104100,3.05670900,3.73275500,28.70223000
-49.85525646,1.03009400,1.64509800,3.08417800,3.73275500,28.81211000
-49.84525646,1.05603700,1.64509800,3.11164700,3.78769400,28.70223000
-49.83525646,1.08350600,1.69851100,3.11164700,3.76022500,28.92199000
-49.82525646,1.13844500,1.69851100,3.16505900,3.81363700,29.36149000
-49.81525646,1.16438800,1.69851100,3.16505900,3.78769400,28.70223000
-49.80525646,1.16438800,1.69851100,3.16505900,3.78769400,29.03186000
-49.79525646,1.16438800,1.69851100,3.19252800,3.84110600,29.36149000
-49.78525646,1.16438800,1.75192300,3.16505900,3.78769400,29.25162000
-49.77525646,1.19185700,1.69851100,3.21999700,3.81363700,28.37871000
-49.76525646,1.21932600,1.75192300,3.16505900,3.81363700,28.04908000
-49.75525646,1.21932600,1.75192300,3.16505900,3.81363700,29.14174000
-49.74525646,1.19185700,1.72598000,3.21999700,3.81363700,29.47137000
