Time,Channel A,Channel B,Channel C,Channel D,Channel H
(ms),(V),(V),(V),(V),(mV)

-50.01517463,-1.62678600,-1.97015000,-3.22152400,-4.03186400,-11.72628000
-50.00517463,-1.68172400,-1.94268100,-3.19405400,-4.11274600,-11.94604000
-49.99517463,-4.17531400,-4.66670800,-5.06043200,-6.81845900,28.37871000
-49.98517463,-2.27841500,-1.37651100,0.13429370,-0.27163960,28.59846000
-49.97517463,-1.30173400,-0.10835060,1.27121200,1.24374300,27.71945000
-49.96517463,-0.67909900,0.59211330,1.70461500,1.94725900,29.14174000
-49.95517463,-0.21822730,0.99804660,2.05561000,2.48901200,28.37871000
-49.94517463,0.08088145,1.18575300,2.29978000,2.84000700,28.48858000
-49.93517463,0.35099500,1.34751600,2.51648100,3.13759000,28.48858000
-49.92517463,0.54175310,1.45586600,2.65077500,3.29935300,28.15895000
-49.91517463,0.67757300,1.53674800,2.78659500,3.43517300,28.26883000
-49.90517463,0.75845440,1.53674800,2.86747600,3.51605400,29.80100000
-49.89517463,0.86680500,1.59016000,2.94835800,3.59846200,28.59846000
-49.88517463,0.94768650,1.61762900,3.00329600,3.62440500,28.48858000
-49.87517463,0.94768650,1.64509800,3.00329600,3.67934300,27.82932000
-49.86517463,1.03009400,1.64509800,3.05670900,3.73275500,28.81211000
-49.85517463,1.05603700,1.67104100,3.08417800,3.76022500,28.15895000
-49.84517463,1.08350600,1.67104100,3.05670900,3.73275500,28.92199000
-49.83517463,1.13844500,1.69851100,3.11164700,3.73275500,28.70223000
-49.82517463,1.11097600,1.69851100,3.11164700,3.76022500,29.14174000
-49.81517463,1.16438800,1.69851100,3.13759000,3.78769400,28.81211000
-49.80517463,1.16438800,1.72598000,3.16505900,3.81363700,28.15895000
-49.79517463,1.13844500,1.72598000,3.13759000,3.78769400,28.48858000
-49.78517463,1.19185700,1.69851100,3.16505900,3.81363700,29.69112000
-49.77517463,1.19185700,1.69851100,3.16505900,3.81363700,28.59846000
-49.76517463,1.19185700,1.75192300,3.21999700,3.84110600,28.48858000
-49.75517463,1.21932600,1.75192300,3.19252800,3.84110600,29.14174000
-49.74517463,1.24679500,1.75192300,3.16505900,3.84110600,29.14174000
